city,lat,lon
"Madrid",40.416775,-3.70379
"Herning",56.138557,8.967322
"Stockholm",59.329323,18.068581
"Paris",48.856614,2.352222
"Bucharest",44.426767,26.102538
"London",51.507351,-0.127758
"Aarhus",56.162939,10.203921
"Milano",45.465422,9.185924
"Torino",45.070312,7.686856
"Roma",41.902784,12.496366
"Florence",43.76956,11.255814
"Venice",45.440847,12.315515
"Coventry",52.406822,-1.519693
"Vienna",48.208174,16.373819
"Lima",-12.046374,-77.042793
"Salamanca",40.970104,-5.66354
"Segovia",40.942903,-4.108807
"Constanta",44.159801,28.634814
"Mangalia",43.815244,28.57415
"Vama Veche",43.752924,28.572549
